firm_id,year,tinh,nganh_kd,firm_ownership,soe,private,fdi,ma_thue,region,big_city,firmage,Output,Labor,Capital,Leverage,Wage,Size,lnOutput,lnLabor,lnCapital,lnWage,lnSize,lnVA,lnSales,VA,equity,export,import
3600451842,2013,75,31001,2.0,0.0,1.0,0.0,3600451842.0,North Southeast,0.0,13.0,126889.0,530,58489.0,0.7629655003547668,62.209259033203125,93421.0,11.751067967518232,6.272877006546167,10.97659398135127,4.130503847721437,11.444871438344773,10.534998662437673,11.751067967518232,37609.0,22144.0,,
3600451842,2014,75,31001,2.0,0.0,1.0,0.0,3600451842.0,North Southeast,0.0,14.0,131449.0,407,61847.0,0.7530701756477356,75.26207733154297,92014.0,11.786374222673784,6.008813185442595,11.032418872198015,4.320976386851103,11.429696018366945,10.614450092966075,11.786374222673784,40719.0,22721.0,,
3600451842,2015,75,31001,2.0,0.0,1.0,0.0,3600451842.0,North Southeast,0.0,15.0,126138.0,374,72117.0,0.7423011064529419,85.73469543457031,90175.0,11.74513182469318,5.924255797414532,11.18604507911429,4.451257591219656,11.40950750577174,10.616486378798674,11.74513182469318,40802.0,23238.0,,
3600451842,2016,75,31001,2.0,0.0,1.0,0.0,3600451842.0,North Southeast,0.0,16.0,157506.0,370,143878.0,0.7546911239624023,102.4800033569336,96992.0,11.967218831760315,5.91350300563827,11.876720997240332,4.629667690345442,11.48238377985753,10.650909827496076,11.967218831760315,42231.0,23793.0,,
3600451842,2017,75,31001,2.0,0.0,1.0,0.0,3600451842.0,North Southeast,0.0,17.0,160748.0,385,84944.0,0.802303671836853,108.42337799072266,121024.0,11.987593200342841,5.953243334287785,11.349747494823452,4.68604372987444,11.70374415201813,10.707661664255449,11.987593200342841,44697.0,23926.0,,
3600451842,2018,75,31001,2.0,0.0,1.0,0.0,3600451842.0,North Southeast,0.0,18.0,142829.0,270,85889.5,0.9795733094215393,13.126984596252441,167619.0,11.869403389501912,5.598421958998375,11.360816865343862,2.5746700043805304,12.029448825759907,9.03081891467951,11.869403389501912,8356.7001953125,3423.9,5365.0,
3600484622,2012,75,31001,3.0,0.0,0.0,1.0,3600484622.0,North Southeast,0.0,12.0,49679.0,49,8951.0,0.38852179050445557,55.484535217285156,13469.0,10.813337587580296,3.8918202981106265,9.099520536870939,4.016104337190131,9.508146027598816,9.143131622282732,10.813337587580296,9350.0,8236.0,,
3600484622,2013,75,31001,3.0,0.0,0.0,1.0,3600484622.0,North Southeast,0.0,13.0,78993.0,54,8596.0,0.3391970098018646,80.28845977783203,19726.0,11.277114519928338,3.9889840465642745,9.059052257762401,4.385625896774729,9.88969284151394,9.560504164299259,11.279883081476772,14193.0,13035.0,,4452.0
3600484622,2014,75,31001,,0.0,0.0,0.0,3600484622.0,North Southeast,0.0,14.0,69884.0,49,5962.0,0.3468377888202667,93.51456451416016,24856.0,11.154592003594335,3.8918202981106265,8.693161274238017,4.5381171943686445,10.120854451072884,9.343033913701648,11.154592003594335,11419.0,16235.0,,1073.0
3600484622,2015,75,31001,,0.0,0.0,0.0,3600484622.0,North Southeast,0.0,15.0,57024.0,47,4873.0,0.29619529843330383,88.9375,23103.0,10.951227510830481,3.8501476017100584,8.491465042843506,4.4879338758500715,10.04771775820736,9.117676687112763,10.951227510830481,9115.0,16260.0,0.0,1425.0
